Glob_sevanje_mean,Hitrost_vetra_max,Hitrost_vetra_mean,Vlaga_max,Vlaga_mean,Temperatura_lokacija_max,O3,mesec,Glob_sevanje_spr,Vlaga_spr,Temperatura_lokacija_spr
1.5,4.8,1.9375,67.4,51.85,11,SREDNJA,11,12,44.1,2.7
1.5,4.8,3.3125,32.2,28.0625,6.1,SREDNJA,11,12,6.4,2.4
1,4.5,3.375,31.6,30.2875,5.9,NIZKA,11,8,2.3,0.7
1.625,2.9,1.9375,47.6,40.1,4.8,NIZKA,11,13,10.9,1.4
1.5,2.6,2.1625,74.7,72.1,1.9,NIZKA,11,12,6.7,1.7
0.375,2.2,1.5375,73.9,69.1625,6.3,SREDNJA,11,3,14.6,1.7
1.25,4.2,3.0875,49.4,46.9625,8.2,SREDNJA,12,10,5.1,0.799999999999999
1.25,6,4.7625,39.4,33.1625,10.7,SREDNJA,12,10,11.3,2
1.375,3.8,2.5125,57.1,43.9875,8.4,SREDNJA,12,11,17.9,4
1,2.5,1.9625,78.5,67.75,2.8,SREDNJA,12,8,19.6,1
1.5,2.8,1.95,74.6,71.1125,1.9,NIZKA,12,12,6.09999999999999,0.5
0.75,2.3,1.675,78.9,73.9875,6.5,NIZKA,12,6,13.9,1.4
1,2.4,2.0375,65.4,55.4875,5.7,SREDNJA,12,8,18.4,3.3
1.375,2.4,1.425,71.5,67.35,5.6,SREDNJA,12,11,10.9,1.4
0.375,2,1.6125,81.5,80.4375,7.4,NIZKA,12,3,2,0.600000000000001
0.625,2.4,1.825,91.3,90.4125,5.6,NIZKA,12,5,1.7,1.4
0.75,2.2,1.5125,82.7,81.1,5.3,NIZKA,12,6,3.8,1.5
0.75,2.1,1.6625,90,88.875,4.4,NIZKA,12,6,2.3,1.4
0.375,2.5,1.9125,92.9,91.95,5.1,NIZKA,12,3,2.2,2.1
0.5,2,1.45,94.6,94.2625,4.6,NIZKA,12,4,0.899999999999992,2
0.375,2.5,2.025,90.8,83.3875,7.9,SREDNJA,12,3,22.9,4.5
0.5,2,1.625,78,73.8,3.6,SREDNJA,12,4,8.7,1.4
0.5,2.3,1.65,80.1,77.725,2.7,NIZKA,12,4,4.8,1.3
0.375,2.9,1.675,90.9,88.3125,2.2,NIZKA,12,3,6,1.5
0.25,2.7,1.675,92.5,87.1625,3.2,SREDNJA,12,2,8.5,1.6
0.5,2.7,1.775,87.1,81.5375,8.6,SREDNJA,12,4,10.9,2.6
0.25,1.8,0.9375,94.7,93.8875,10,SREDNJA,12,2,1.60000000000001,0.5
0,1.9,1.3375,93.5,88.6,11,NIZKA,12,0,8.3,0.699999999999999
0.125,2.9,1,95.5,94.1625,10.6,NIZKA,12,1,3.40000000000001,0.799999999999999
0.125,2.4,1.125,95.3,92.1125,10,SREDNJA,12,1,8,0.5
0.125,8.5,6.5125,74.6,73.3125,13.3,SREDNJA,12,1,3.3,0.800000000000001
0,7.7,6.45,78.6,74.525,14.5,SREDNJA,12,0,6.19999999999999,1.1
0.25,2.9,1.575,94.4,83.4375,12.3,SREDNJA,12,2,29.2,1.7
0.375,2.6,1.9375,88.4,87.1125,6.8,NIZKA,12,3,3.10000000000001,1.4
0,3.3,2.475,89.1,82,12.7,SREDNJA,12,0,11.5,3
0.125,4,3.4,63.5,58,10,SREDNJA,12,1,8.9,0.5
0.125,2.1,1.325,81,69.775,8.8,SREDNJA,12,1,18,3.8
0.125,2.4,1.6125,86.3,83.075,6.7,NIZKA,1,1,7.59999999999999,2
0.375,1.9,1.2375,89.9,88.9,6.7,NIZKA,1,3,2.2,1.4
0,1.1,0.8125,96,95.1875,10,NIZKA,1,0,2.2,0.9
0,1.8,1.075,94.9,93.9875,9.5,SREDNJA,1,0,1.60000000000001,0.300000000000001
0,6.4,3.375,94.9,87.1625,15.7,SREDNJA,1,0,19.1,3.8
0.125,1.8,1.0125,94.3,91.425,11.6,NIZKA,1,1,11.9,1.4
0.125,2.7,1.625,93.8,92.1375,10.5,NIZKA,1,1,4.39999999999999,1.9
0.125,2.2,1.4375,91.8,88.4875,9,NIZKA,1,1,6.2,1
0,1.3,1.0125,90.8,89.4375,9.4,NIZKA,1,0,2.39999999999999,0.5
0,1.4,0.8625,90.8,89.2875,9.3,NIZKA,1,0,2.7,0.5
0,1.7,0.9,95.4,94.625,9.7,NIZKA,1,0,1.40000000000001,0.299999999999999
0.375,1.7,1.1375,96.3,93.775,9.5,NIZKA,1,3,5.39999999999999,2.5
0,2.9,2,93.1,88.7625,9.5,NIZKA,1,0,6.89999999999999,0.699999999999999
0.125,1.7,0.85,94.4,90.375,12,SREDNJA,1,1,12,2.9
0,2.1,1.475,92.8,91.15,10.8,NIZKA,1,0,2.89999999999999,0.800000000000001
0.625,3,1.6,89,84.1875,9.2,NIZKA,1,5,10.2,0.399999999999999
0.125,3.8,1.5375,94.4,88.6125,12.7,SREDNJA,1,1,17.5,4.3
0,2.4,1.35,94.8,92.1,12.3,SREDNJA,1,0,7.09999999999999,0.800000000000001
0.125,6.6,5.075,77.2,73.2125,15.9,SREDNJA,1,1,5.5,1.1
0,2.3,1.7625,92.2,86.025,12.4,SREDNJA,1,0,12.3,0.700000000000001
0.25,1.9,1.3875,93.4,84.1875,11.8,SREDNJA,1,2,22.4,3.7
0.5,1.7,1.275,80.1,77.475,9.8,NIZKA,1,4,4.8,1.2
0.125,2.3,1.2625,89.3,87.7,9.1,NIZKA,1,1,3.7,1
0,4.8,1.8375,91.3,87.4375,9.8,SREDNJA,1,0,10,3.2
0.5,6.3,4.4625,59.2,56.8375,6.8,NIZKA,1,4,3.5,1.4
0,2.2,1.125,66.9,60.4625,5.8,NIZKA,1,0,15.6,1.5
0.375,2.1,1.4,85.7,80.325,4.8,SREDNJA,1,3,8.40000000000001,2.5
0.625,2.9,2.1875,63.9,54.475,6,SREDNJA,1,5,13.8,1
2,3.2,2.45,55.2,53.2625,4,SREDNJA,1,16,3.8,0.6
0,2.1,1.4125,88.2,84.8375,9.1,SREDNJA,1,0,9.2,4.6
0.375,8.6,7.35,80.9,76.35,14.7,SREDNJA,1,3,8.10000000000001,1
0.375,6.8,5.3875,79.6,72.9375,14.4,SREDNJA,2,3,13.1,1.2
0.25,2.8,2.1625,85.8,79.4375,13.1,SREDNJA,2,2,12.3,3.5
0.5,3.2,2.725,75,73.5,5.9,SREDNJA,2,4,4,0.4
0.25,2.4,1.7375,73.6,65.4375,6.6,SREDNJA,2,2,19,2.1
2.125,4,2.7,87.8,86.6125,10.5,SREDNJA,2,17,3.3,0.9
2.125,3.6,1.3125,91.2,88.2,8.9,SREDNJA,2,17,4.90000000000001,0.800000000000001
2,2,1.4625,89.2,88.25,8.7,SREDNJA,2,16,2.10000000000001,1.8
0.5,6.7,4.7625,91.6,85.475,13.2,SREDNJA,2,4,11.1,2.8
2.25,6.8,4.2125,81.1,75.0375,12.7,SREDNJA,2,18,12.4,1.3
2.125,2.4,1.6125,84.9,81.7625,8.9,SREDNJA,2,17,6,2.9
0.5,7.7,4,94.3,89.325,14.1,SREDNJA,2,4,12.9,3.7
1.875,3.8,2.5,76,71.0625,9.1,SREDNJA,2,15,9.90000000000001,0.799999999999999
5.625,2.4,2.025,93.2,92.9625,5.9,SREDNJA,2,45,0.900000000000006,1.4
1.75,7.1,2.525,88.4,81.5,12.3,SREDNJA,2,14,17.5,3.6
5.75,2.2,1.6,81.7,79.4125,7.2,SREDNJA,2,46,4.40000000000001,1.6
2.25,5,3.2,87.2,79.0875,13.8,SREDNJA,2,18,11.8,4
0.625,6.6,5.1875,78.7,77.5875,15.1,SREDNJA,2,5,2.10000000000001,0.6
6.125,2,1.3875,95.2,94.7875,8,NIZKA,2,49,1,1.4
0,7,2.8,89.9,81.7,14.3,SREDNJA,2,0,15.5,1.9
3.125,3.1,2,90.4,80.5125,12.4,SREDNJA,2,25,20.6,3
1,1.9,1.35,82.6,79.9625,10.6,NIZKA,2,8,6,0.799999999999999
0.875,2.3,1.1375,92.2,87.8875,10.4,SREDNJA,2,7,7.10000000000001,2.1
4.5,2.4,1.3,65.5,60.9625,9.6,SREDNJA,2,36,6.3,2
10.375,2.3,1.775,72.4,56.75,10.5,SREDNJA,2,83,26,4.9
10.875,2.7,1.8,91.2,86.725,5.8,SREDNJA,2,86,9,1.5
12.375,2.1,1.5875,79.6,76.9375,10.3,SREDNJA,2,98,7.69999999999999,4
7.375,1.4,0.8875,91.5,89.4375,10.8,SREDNJA,2,58,4.3,0.600000000000001
5.75,4.5,2.275,88,83.9375,8.9,SREDNJA,2,46,9.2,1.8
9.125,2.4,1.4125,93.1,87.875,9.1,SREDNJA,3,73,13.4,1.3
6.875,1.6,1.2375,91.2,84.175,10,SREDNJA,3,54,17.4,1.5
6.625,1.5,1.1625,80.2,76.8875,9.1,SREDNJA,3,52,7.2,1.2
9.375,2.8,1.65,83.2,72.4375,10.1,SREDNJA,3,72,23.7,2.6
11.25,3.5,2.5625,58.1,56.5875,12.2,SREDNJA,3,86,4.8,0.899999999999999
8,3.4,1.55,59.5,44.15,13.3,SREDNJA,3,55,22.2,3.8
18.25,2.5,1.9125,64.6,57.15,12.3,SREDNJA,3,137,12.7,3.3
18.375,4.9,2.9625,54.1,52.65,12,SREDNJA,3,137,3.6,1.3
21.125,3.3,2.025,53.1,45.725,13.3,SREDNJA,3,159,19,2.4
18.375,3.6,2.4125,49.3,47.0875,12.2,SREDNJA,3,129,7.7,0.699999999999999
10,3.6,2.85,44.8,42.825,12.2,SREDNJA,3,70,5.7,1.7
22.625,2.4,1.9,52.9,44.775,11.5,VISOKA,3,168,22.1,5
21.625,2.3,1.9125,58.1,55.225,10.8,VISOKA,3,157,10,3.3
21.75,2.9,1.625,71.1,65.0875,9.2,VISOKA,3,155,11,2.4
27.5,2.3,1.7875,75.8,73.6875,8.1,VISOKA,3,199,11,2.4
23,2,1.4625,77.5,75.875,8.8,VISOKA,3,164,6.40000000000001,2.6
6.75,1.7,1.2,96.7,93.5,11.2,VISOKA,3,41,7,1.3
31,2.4,1.5875,89.5,77.6125,12.2,SREDNJA,3,202,22.1,3.2
31.25,2.7,1.8875,81.9,74.7625,11.9,SREDNJA,3,207,14.6,3.8
23.75,3.9,2.2125,82.6,77.8875,15,SREDNJA,3,166,8.89999999999999,3.9
8.25,7,5.25,79.7,75.5375,15.2,SREDNJA,3,55,7.10000000000001,0.899999999999999
13.25,3.7,2.3875,87.9,79.8,9.3,SREDNJA,3,101,15,2.5
18.875,2.3,1.375,68,60.9,9.9,SREDNJA,3,114,19.2,2
29.375,2.6,1.675,79.9,73.9625,9.9,SREDNJA,3,180,23.6,4.9
43.75,3.5,2.1125,52.9,50.3,13,SREDNJA,3,256,5.2,1.5
31.5,2.5,1.925,80,75.7375,14.1,SREDNJA,4,201,9.59999999999999,3.3
44.375,2.3,1.875,77.1,72.6875,15.9,SREDNJA,4,274,19.6,5.7
28.625,2.7,1.7125,90.5,83.875,12.5,VISOKA,4,150,17.6,2.8
3.25,5.1,1.8375,89,78.6625,15.4,SREDNJA,4,17,22.8,2
11,1.7,1.1375,90.7,74.675,15.8,SREDNJA,4,64,23.4,2.3
56,2.4,1.5125,77.1,68.1875,17.7,VISOKA,4,310,23.8,5.9
43,2.3,1.8,74,69.8,16.7,SREDNJA,4,172,13.3,5
50,3.6,2.9125,90.6,67.475,16.3,SREDNJA,4,352,43.5,2.4
25.25,2.3,1.7,83,77.5125,12.1,SREDNJA,4,118,13.5,3.2
49.75,2.4,1.95,82.2,69.0625,14.2,SREDNJA,4,317,34.1,4.6
31.375,2.3,1.625,83.9,79.9125,14.1,SREDNJA,4,195,8.40000000000001,3.9
24.5,2,1.525,87.3,84.925,12.9,SREDNJA,4,131,8.09999999999999,2.6
58.375,2.7,1.425,90.3,86.6125,15,SREDNJA,4,300,17.8,5.3
43,4,2.6375,71.8,56.0125,12.7,SREDNJA,4,167,27,1.5
77.625,2.5,2.0125,55.2,42.925,12.7,SREDNJA,4,397,27.3,6.6
65.5,7.3,3.175,48,39.7,12,SREDNJA,4,251,17,3.9
81.25,1.9,1.4375,64.9,57.6,13.7,SREDNJA,4,420,16.1,5.7
16.375,2.1,1.65,69.2,57.3875,16.1,SREDNJA,4,67,29.4,4.2
4.625,1.9,1.2375,90.8,89.7625,13,SREDNJA,4,21,1.89999999999999,0.800000000000001
30,2.3,1.225,90.7,88.8,14.3,SREDNJA,4,141,5.60000000000001,2.6
74.375,2,1.5375,95,90.7375,17.3,SREDNJA,4,396,17.5,4.3
53,1.8,1.15,93,91.1,14.2,SREDNJA,4,267,7.40000000000001,2.9
18.625,1.8,1.375,77.6,73.7625,17.1,SREDNJA,4,76,10.7,1.4
83.375,2.6,1.925,85.1,78.2625,20.8,SREDNJA,4,408,33.6,8.1
54.5,2.5,1.4875,79.7,73.5375,18.4,SREDNJA,4,219,10.8,3.5
15.875,1.8,1.2875,78.6,75.1,16.9,SREDNJA,4,77,8.8,2.3
18.5,1.8,1.125,94.6,93.1625,14.9,SREDNJA,4,97,2.69999999999999,0.5
23.375,2.6,1.475,89.3,86.75,16,SREDNJA,4,116,8,1.5
78.5,2.2,1.85,89.9,84.3625,18.3,SREDNJA,4,415,28.3,5.5
29.875,1.9,1.25,93.3,91,14.4,SREDNJA,5,169,5.09999999999999,2.1
51.875,2.1,1.5375,83.7,79.35,16.8,SREDNJA,5,232,10.2,3.6
13.625,2.3,1.6375,91.3,87.0375,15.4,SREDNJA,5,83,18.5,2.6
19.5,3.6,2.7,56.1,48.5,14.5,SREDNJA,5,77,12.7,0.6
102.25,2.4,1.6625,73,63.3,16.1,VISOKA,5,471,36.5,8.4
100.8375,2.5,1.7375,86,80.375,16.4,VISOKA,5,430,18.4,6.3
47,2.2,1.3,74.4,65.125,17.4,VISOKA,5,176,15.7,5.6
106.125,2.8,1.7125,89.7,82.0125,16.7,VISOKA,5,481,21.9,4.5
108.875,2.9,1.875,79.3,71.6875,19.2,SREDNJA,5,500,31.4,7.9
105.625,2.7,1.875,76.8,71.0125,18.7,VISOKA,5,478,12.5,6.2
52.175,4.2,2.1875,77.9,65.3125,20.3,VISOKA,5,180.6,20.6,3
29.375,2.3,1.775,82.3,70.4375,16.6,SREDNJA,5,102,26.7,3.6
112.875,3.4,1.9375,65.2,59.9875,15.2,SREDNJA,5,512,13.4,3.3
76.5,2.4,1.7125,52.7,39.325,15.6,SREDNJA,5,333,27.5,4.3
30.25,2.3,1.475,53.9,50.4125,16.4,SREDNJA,5,101,6.9,2.1
42.375,2.4,1.7375,79.7,59.5625,14.9,SREDNJA,5,179,30.2,1.5
57.125,2.5,1.6625,76.9,70.625,16.7,SREDNJA,5,276,12.6,2
84.125,4.2,2.975,73.2,66.575,19.1,SREDNJA,5,420,15.7,3.2
116.875,2.8,1.725,82.1,72.9625,18.7,VISOKA,5,543,28.8,6.5
109.75,2.5,1.9,81.4,74.55,19.7,VISOKA,5,489,25.3,6.3
101,2.8,1.925,79.1,72.9875,21.9,VISOKA,5,447,23.1,7.2
89.875,2.7,2.05,80.3,71.1875,21.8,SREDNJA,5,378,22.9,5.2
108.625,2.1,1.6875,83.1,74.3625,22.2,VISOKA,5,504,17.4,3.7
115.625,2.7,2.0125,71.1,60.175,23,VISOKA,5,520,35.8,9.2
15.375,3,2.1125,80.2,68.6375,19.8,VISOKA,5,50,22.8,2.8
52.25,3.6,2.4875,85.5,82.8,17.9,SREDNJA,5,224,9.59999999999999,2
54.125,2.5,1.8,90,83.3375,18.1,SREDNJA,5,183,14.2,2.6
110.125,3.5,1.9875,89.8,83.275,18.6,VISOKA,5,533,20.2,3.6
76.75,1.9,1.2875,83.9,77.475,20.5,SREDNJA,5,370,26.3,4.8
117.75,2.9,2.2125,62,49.7,18,SREDNJA,5,536,19.7,3.4
76.25,2.7,1.925,70.7,63.025,18.2,SREDNJA,6,292,19.7,6
114.25,2.5,1.7625,83.8,74.0875,20.4,VISOKA,6,518,35.7,8
114,2.8,1.8125,77.4,68.825,19.7,VISOKA,6,518,24.8,6.8
114.75,2.5,1.8375,73.1,65.575,20.4,VISOKA,6,520,21.7,7.1
54.75,3.1,2,72.7,61.95,21.3,VISOKA,6,349,15.3,2.4
108.625,2.3,1.6125,83.6,76.6875,22.9,VISOKA,6,487,24.5,6.9
107.625,2.2,1.725,84.9,77.5375,22.7,VISOKA,6,486,21.8,5.9
110.75,2.4,1.5125,79.5,74.825,23.7,VISOKA,6,502,12,5.1
109.875,1.9,1.3875,71.7,64.3625,25.9,VISOKA,6,503,18.7,5.7
114.625,2.8,1.975,70.4,62.0625,29.7,VISOKA,6,525,30.1,9.6
115.375,2.4,1.9125,73.3,64.8625,26.3,VISOKA,6,529,19.9,5.3
106.875,4.2,2.0875,69.6,54.2625,29.1,VISOKA,6,482,23.2,5.9
43.875,2.9,1.825,65.7,48.225,21.6,SREDNJA,6,221,31.7,3.2
109,2.1,1.5875,60,51.2875,23.6,SREDNJA,6,472,23.9,6.2
111.25,2.7,1.2375,62.8,58.15,23,VISOKA,6,491,19.5,4.6
78.75,2.7,1.6875,68.2,58.1125,24,VISOKA,6,412,27.1,4.8
92.25,2.3,1.5625,64.6,55.5125,21.9,SREDNJA,6,353,17.9,2.7
42.875,2.2,1.6125,60.2,52.75,22.3,SREDNJA,6,152,13.3,5.5
77.5,1.9,1.45,68,65.35,25,VISOKA,6,359,11.6,3.1
101.375,6.3,3.1875,79.8,69.3,26.1,VISOKA,6,465,27.4,6.4
27.375,2.7,1.825,82.8,71.8125,22.5,SREDNJA,6,104,22.1,3.4
113.125,2.5,1.85,86.9,77.975,22.8,VISOKA,6,523,34.4,7.5
75.5,2.4,1.7125,83.7,75.15,23,VISOKA,6,286,27.3,5.4
105.875,2.3,1.8125,79.3,73.95,23.6,VISOKA,6,475,17,5.3
106.6,4.5,2.925,75.3,69.45,26.4,VISOKA,6,486.7,19.8,4.2
31.825,3.5,2.5875,92.7,80.7875,19.6,SREDNJA,6,110.9,32.3,1.3
72.375,2.2,1.6125,83.7,75.225,21.4,SREDNJA,7,386,19.9,4.4
50.125,2.5,1.875,80.3,71.2,22.5,SREDNJA,7,217,30.4,5.5
113.575,3.2,2.4375,88.2,65.2625,23.6,VISOKA,7,524.9,48.9,5.5
105.125,2.4,1.6,76.4,70.875,22.6,VISOKA,7,479,18.5,5.2
58.125,2.2,1.7375,76.4,66.45,23.1,VISOKA,7,231,25.9,4.1
105,2.3,1.65,84.8,79.85,23.6,VISOKA,7,487,14.4,4.1
103.125,2.2,1.625,88.5,79.55,26.6,VISOKA,7,472,28,5.4
64.875,3.9,2.2125,87.9,83.1625,23.9,SREDNJA,7,257,12.2,1.9
101.975,6.3,2.9375,88.1,80.7,20.8,SREDNJA,7,525.7,16.9,3.1
46.65,2.6,1.6875,84.6,76.5125,19.5,SREDNJA,7,203.8,19.6,3.2
120,2.5,1.8,83.6,74.9,21,SREDNJA,7,592,24.2,6.1
76.75,2.7,1.825,85.9,79.7,23.2,VISOKA,7,290,18.3,5.1
87.125,2.7,1.9,88,82.4625,21.4,SREDNJA,7,526,15.8,3.2
34.375,2.2,1.5625,83.7,80.675,21.5,SREDNJA,7,155,13.3,2.2
97.75,3.4,2.1,76.4,67.3875,28.6,VISOKA,7,428,30.2,6.2
93.75,3.3,1.85,70,65.8375,25.3,VISOKA,7,432,14.2,4.7
95.25,2.8,2.05,78.2,70.425,26.6,VISOKA,7,445,23.8,5
92,2.6,1.9625,70.1,64.1375,28.7,VISOKA,7,427,26,7.9
21.875,3.9,1.9625,73.5,62.025,26.1,SREDNJA,7,112,20.5,3.3
85.375,1.9,1.625,87.7,81.3125,22.6,VISOKA,7,399,23.7,5.4
37.375,2,1.1875,85,77.75,24,VISOKA,7,243,19.4,2.8
98.125,3.2,2.35,68.8,63.5,24.9,SREDNJA,7,452,17.1,5.7
77.125,2,1.5,85.2,79.0875,25.3,VISOKA,7,281,21.2,5
17.125,1.8,1.6,89.5,88.9125,20.1,SREDNJA,7,104,1.59999999999999,0.800000000000001
70.125,2.3,1.6125,90.2,85.475,23.8,VISOKA,7,403,20.1,3.9
31.625,3.3,2.0625,77.7,75.8375,24.6,SREDNJA,7,112,4.10000000000001,2.1
5.625,1.7,1.4,92.5,90.2875,20.8,SREDNJA,7,40,5.09999999999999,0.900000000000002
20.625,5.1,1.75,85.5,81.5625,22.2,SREDNJA,7,96,9.5,1.8
50.875,1.8,1.2375,84.8,75.6125,24.2,SREDNJA,8,191,19.2,3.4
87.625,2.7,1.875,83.9,77.0375,26.6,VISOKA,8,428,28.7,6.4
41.625,2.2,1.75,83.3,78.325,24.5,SREDNJA,8,174,14.6,3.4
82.625,2.1,1.5375,89.9,86.2375,24.5,VISOKA,8,409,15.5,4.4
43,3.4,2,87.5,71.6,25.4,SREDNJA,8,213,35.1,4.2
87.5,2.2,1.5875,73.3,63.6625,24.2,SREDNJA,8,429,22.1,5.2
86,2.5,1.5125,68.9,60.35,25.3,VISOKA,8,417,17.1,4.7
82.375,2.5,1.8125,77.9,72.6875,25,VISOKA,8,405,21.4,5.9
78.625,2.8,1.75,79.6,73.5625,26.6,VISOKA,8,391,26.5,6.5
68.25,2.3,1.6375,78.6,74.625,26.1,VISOKA,8,360,17.2,4.6
75,2.7,1.75,79.7,74.8625,27.4,VISOKA,8,393,19.6,5.9
68.625,2.4,1.6375,69.8,60.675,27.8,SREDNJA,8,368,17,5.4
69.875,6.8,3.4625,77.5,72.7,27.9,SREDNJA,8,356,10.3,2.6
4.5,3.5,1.875,89.3,80.725,25,SREDNJA,8,18,13.4,3.7
65.125,3,2.25,69.5,64.525,21.9,SREDNJA,8,391,9.4,2
80.375,2.6,1.675,82.3,68.85,22.6,SREDNJA,8,408,31.9,4.3
80.25,2.6,1.65,82.8,74.925,21.1,SREDNJA,8,407,30.8,6.9
74.625,2.4,2.05,81,73.8375,22.4,SREDNJA,8,380,22.9,6.5
33.75,2.6,2.0125,71.5,67.5375,23.9,SREDNJA,8,161,9.8,2.6
59.5,2.1,1.6375,91.8,88.0875,21.9,SREDNJA,8,277,12.2,3.5
63.5,2,1.65,85.3,78.1875,22.7,SREDNJA,8,327,24.1,4.7
5.625,2.9,2.025,85,78.9875,20,SREDNJA,8,23,12.9,0.600000000000001
49.5,2,1.6125,87.6,82.2625,19.4,SREDNJA,8,193,16.1,3.8
61.375,4.5,3.0625,68.4,57.55,20.1,SREDNJA,8,289,19.2,2.4
43.375,2.3,1.7375,77.1,73.2625,22.9,SREDNJA,8,230,9.3,3.8
16,2.2,1.475,90.4,88.575,22.5,SREDNJA,8,77,8.30000000000001,1.7
20.375,4,2.9875,72.8,58.3625,21.3,SREDNJA,8,104,29.1,2.5
70.25,2.7,2.15,74.1,68.8625,22.2,VISOKA,8,367,26.9,6.9
60.875,2.4,2.0125,78.5,74.3,22.4,SREDNJA,8,343,20.4,4.7
44.375,2,1.6125,67.7,63.5125,22.5,VISOKA,8,215,11.9,3.4
4.3625,4.5,2.9,92.3,77.2375,18.8,SREDNJA,9,28.3,31.2,3.5
6.25,3.3,2.7125,57.7,46.725,21,SREDNJA,9,35,14.9,1.9
19.375,3.5,2.0875,72.6,68.575,20.6,SREDNJA,9,101,10.7,2.5
4.125,2.4,1.9,71.9,68.3,22.1,SREDNJA,9,17,7.5,0.600000000000001
14.875,2.1,1.275,82.9,71.9875,22.6,SREDNJA,9,92,16.3,2.5
22.25,1.9,1.425,78.6,72.25,22.5,SREDNJA,9,121,16.8,3
56.375,2.1,1.35,77.9,68.6875,22.9,SREDNJA,9,310,22.5,5.1
53.625,2.5,2.0625,80.4,75.1125,21.4,SREDNJA,9,301,16.9,4.8
53,2.6,1.7625,88,82.0875,22.6,VISOKA,9,298,17.6,4.8
8.5,6.7,2.275,91.1,87.475,21.4,SREDNJA,9,45,8.3,2.7
6.5,2.2,1.25,87.4,80.1375,18.9,SREDNJA,9,40,13.1,1
23.25,2.6,1.9375,85.8,81.75,16.9,SREDNJA,9,147,13.7,3.7
18.25,3.7,1.9625,88.8,83.425,16.4,SREDNJA,9,106,10.2,1.8
59,2.7,1.8875,86.7,82.65,18.6,SREDNJA,9,354,20.8,4.7
51.375,2.3,1.5125,88.7,84.625,19.5,VISOKA,9,292,16,4.2
41.375,2,1.4,78.5,72.5125,21.3,SREDNJA,9,225,19,3.6
49.75,2,1.525,82.1,75.2875,20.8,SREDNJA,9,286,24.9,5.5
46.75,2.3,1.9375,84.3,79.6,18.6,SREDNJA,9,275,17.5,4.5
20.125,2,1.3625,82.8,79.7625,20.1,SREDNJA,9,128,7.39999999999999,3.7
0.75,2.5,1.3,91.8,89.1,21.3,SREDNJA,9,5,6.09999999999999,0.699999999999999
26,1.4,1.1625,92.9,90.8375,20.8,SREDNJA,9,158,5.30000000000001,1.2
45.7125,3.4,1.9125,91.7,88.925,19.6,SREDNJA,9,318.9,12,3.5
44.125,3.1,2.1125,86.2,79.4,14.2,SREDNJA,9,266,15.9,3.8
41.75,2.1,1.9125,88.1,84.925,16.7,SREDNJA,9,252,15.7,4.3
3.25,2.4,2,77.8,75.2375,16.6,SREDNJA,9,18,5.5,1.1
54.25,3,2.3,82.2,78.1625,15.1,SREDNJA,9,357,18.3,4.8
33.875,2.4,1.9375,82.7,78.225,17.2,SREDNJA,9,217,12.6,2.9
38.375,2.6,2.15,88.3,85.35,17.6,VISOKA,9,242,13.4,3.7
34.125,1.8,1.425,91.6,88.775,17.5,SREDNJA,9,210,10,3.4
31.25,2.4,2.1375,91.9,89.0625,17.6,SREDNJA,9,197,9,2.9
13.375,2,1.625,87.2,86.225,18,SREDNJA,10,89,3.40000000000001,1.6
15.125,2.5,2.1,62.6,59.55,19.9,SREDNJA,10,67,6.3,0.599999999999998
33,2.4,1.4875,76.1,62.175,19.4,SREDNJA,10,213,25.2,5.2
27.75,2.5,1.925,79.5,75.575,17.9,SREDNJA,10,182,12.4,4
30.375,2.2,1.7375,80.6,75.45,16.9,SREDNJA,10,199,20.3,4.6
30.875,2.8,2.125,81.4,79.0625,15.6,SREDNJA,10,193,11.8,3.8
12.25,2.3,1.875,84.7,81.7875,16.5,SREDNJA,10,72,7.2,1.8
10.75,5.1,3.4,80.7,76.5125,21,SREDNJA,10,73,6.5,1.6
24.75,3.6,2.15,86.1,80.625,21,SREDNJA,10,170,11.9,3.4
22.875,1.6,1.0625,80,78.9125,20.1,SREDNJA,10,161,3.5,2.3
18.125,2.4,1.7125,86.9,85.175,17.5,SREDNJA,10,122,7.10000000000001,1.4
13.875,2.6,1.7375,90.4,87.275,17.6,SREDNJA,10,93,9.5,1.5
16,2.9,1.675,86.1,83.1125,21.1,SREDNJA,10,114,8.69999999999999,2.4
21.375,3.5,2.4,84,78.6875,21.4,SREDNJA,10,165,11,2
0.725,2.8,1.925,96.5,94.4125,17.5,SREDNJA,10,2.9,4.40000000000001,1.7
12.25,3,1.75,91,89.7,19.7,SREDNJA,10,85,3,0.800000000000001
3.25,5,2.5625,85.3,81.85,20.9,SREDNJA,10,22,10.5,0.899999999999999
11.625,1.3,1.1125,88.3,84.9125,20.5,SREDNJA,10,82,6.8,1.5
19.625,2,1.35,91.8,89.975,17.3,SREDNJA,10,145,7.2,2.2
4,2.2,1.8,90.1,87.8875,18.6,SREDNJA,10,28,5.69999999999999,1.8
6,2.4,1.475,90.4,86.6375,20.1,SREDNJA,10,46,6.5,0.900000000000002
2.625,2.8,1.8375,63.8,58,12.7,NIZKA,10,20,12.4,3.3
10.125,2.3,1.8125,90.1,87.075,12.3,NIZKA,10,73,6.39999999999999,1.2
17.875,4.7,3.1875,57.3,54.275,13.9,NIZKA,10,138,8.3,1.6
17.125,1.9,1.6125,78.7,75.025,9.5,SREDNJA,10,132,9.60000000000001,2.4
16.125,4.2,2.2125,59.3,53.4,11.9,SREDNJA,10,125,10.3,1.7
