Glob_sevanje_mean,Hitrost_vetra_max,Hitrost_vetra_mean,Vlaga_max,Vlaga_mean,Temperatura_lokacija_max,O3,mesec,Glob_sevanje_spr,Vlaga_spr,Temperatura_lokacija_spr
24.625,2.4,1.1625,89.8,83.275,11.3,SREDNJA,3,180,14.9,2.5
4,3.9,2.75,72.9,61.4125,9.6,SREDNJA,3,28,18.3,1.7
12.5,2.7,1.8,45.4,41.775,4.7,SREDNJA,3,88,11.4,0.9
28.25,2.3,1.3625,50.3,36.35,3.9,SREDNJA,3,202,21.1,3.9
24.5,3.7,2.4375,57.1,52.2125,5.7,SREDNJA,3,167,8.2,3
1.675,5.7,3.2875,88.2,80.575,10,SREDNJA,3,8.7,13.5,3.2
30.35,7.2,3.4625,85.5,78.95,8.8,SREDNJA,3,199.9,17.6,3
32.375,3.1,1.6875,73.3,65.625,11,SREDNJA,3,223,15.6,4.4
16.625,3.2,1.9875,86.7,83.05,9.3,SREDNJA,3,123,8.7,1.2
37.875,2.5,1.925,55.4,45.6,11.4,SREDNJA,3,257,29.7,6.5
33.25,2.2,1.825,69.7,66.4625,7.8,SREDNJA,3,222,13.4,2.9
4.75,3,1.9,73.9,66,7.3,SREDNJA,3,27.5,15.1,1.7
3.65,6.2,4.65,72.1,62.4,3.5,SREDNJA,3,24.6,18.9,1.8
11,3.8,3.4125,57.4,55.675,3,SREDNJA,3,76,4.1,1.2
36.25,4.1,2.8,51.4,48.55,3.8,SREDNJA,3,223,6.8,2
21.8375,1.9,1.425,73.1,68.2875,5.6,SREDNJA,3,125.9,12.2,4.2
4.6,6.7,5.0625,89.5,83.825,12,SREDNJA,3,22.9,13.9,2.9
25.25,2.7,1.6375,95.4,94.55,10.5,SREDNJA,3,164,2.60000000000001,2
1.6375,5.1,2.475,94,87.225,14,SREDNJA,3,9.7,15.6,5.2
6.9375,3.1,2.075,69.3,61.65,8.4,SREDNJA,4,41.5,12.7,1.6
11.45,3.7,2.45,70.5,66.2,8.2,SREDNJA,4,79.8,9.6,1.7
18,2.8,2.3625,52.4,51.325,9.7,SREDNJA,4,109,2.6,1.7
24.5,2.5,1.7375,86.2,84.0875,9.7,SREDNJA,4,101,6.60000000000001,2.8
13.4625,4.2,2.775,78.7,72.9625,15.2,SREDNJA,4,65.9,14.7,2.8
69.5,3.5,2.3125,70.6,66.8625,16.2,SREDNJA,4,382,16.5,4.4
67.125,2.2,1.55,86.3,82.1625,12.8,SREDNJA,4,307,12.6,4.1
73.5,2,1.325,75.5,72.4625,13.9,VISOKA,4,380,8.8,4.3
46.625,2.5,1.25,69,66.3875,15.3,SREDNJA,4,192,5.1,2.3
21.75,2,1.475,63.5,61.1875,14,VISOKA,4,108,5.3,3
71.75,2.7,1.3875,76.7,70.875,17,VISOKA,4,366,11.9,4.6
33,1.9,1.3,71.8,67.9,17.5,VISOKA,4,162,13.1,4.7
51.875,2.5,1.8875,68.7,62.4875,18.2,VISOKA,4,269,19.8,3.8
69.5,1.8,1.5875,63.5,53.825,20.2,VISOKA,4,356,21.6,5.7
11.5,2.4,1.6,82.7,76.2375,15,SREDNJA,4,53,16.1,2.1
85.375,2.8,1.8375,80.2,67.9875,15.4,VISOKA,4,424,22.4,4.4
86.125,2.5,1.65,77.8,72.775,15.1,VISOKA,4,428,13.3,5.4
80.625,2.7,1.8,72.8,67.6625,18.1,VISOKA,4,400,23.3,8.2
62.125,2.1,1.35,67.6,61.65,17.5,VISOKA,4,352,14.9,5.4
60.725,4,2.2,74.5,68.7,19.2,SREDNJA,4,247.6,13.1,2.2
49.275,5.9,3.5875,72.1,68.725,19.4,SREDNJA,4,310.8,10.3,2.1
58.775,2.5,1.625,78.3,72.875,18.9,VISOKA,4,219.8,15.6,5
50.25,2.5,1.9875,69.5,60.175,19,SREDNJA,4,201,16.5,4.9
67.875,2.3,1.725,66.9,59.0875,21.4,VISOKA,5,386,26.4,5.9
20.7125,2.3,1.625,84.7,75.825,20,SREDNJA,5,85.9,21.9,3.5
28,1.9,1.425,90.6,88.6125,18.1,SREDNJA,5,127,5.39999999999999,1.4
86.125,1.9,1.4125,88.9,81.9,19.4,SREDNJA,5,411,21.4,4.1
77.875,3,1.7875,84.8,75.65,22.3,SREDNJA,5,326,35.3,6.3
44.5,1.6,1,81.8,76.55,18.8,SREDNJA,5,203.5,15,2.6
39.275,2,1.5875,91.5,89.85,17.5,SREDNJA,5,174.8,3.5,1.2
78.4,1.6,1.1125,92,86.3,19.5,SREDNJA,5,445.8,25.5,4
98.375,2.5,1.8125,91,83.675,19.8,SREDNJA,5,453,20.9,6.5
108.05,2,1.5625,72.8,66.5875,22.8,VISOKA,5,507.6,21.2,6.7
28.9,2,1.0625,91.4,88.6875,18.1,SREDNJA,5,138.8,6.30000000000001,1
32.325,3.2,1.8625,68.5,58.6,17.6,SREDNJA,5,103.9,19.3,1.2
46.575,7.6,2.275,76.5,70.3875,15.5,SREDNJA,5,236.9,24.9,2.2
104.375,2.8,1.8875,79.5,72.475,18,VISOKA,5,476,20,6.5
105.625,2.5,2.025,75.1,64.3125,21.1,VISOKA,5,500,37.2,9.2
7.975,2.6,1.7125,56.3,47.125,19.9,SREDNJA,5,29.7,13.5,0.799999999999997
24.2,4,2.5,66.6,50.8,19.9,SREDNJA,5,125.9,27.6,2.5
56.375,4.7,2.575,73.5,70.0875,17.2,SREDNJA,5,311,8.8,2.9
58.075,2.3,1.85,75.1,68.725,18.5,SREDNJA,5,220.9,18.2,5.2
86.625,6.1,3.5125,70.6,65.35,17.6,SREDNJA,5,388,12.3,3.2
27.825,2.4,1.96,62.7,61.38,14,SREDNJA,5,84.6,2.6,1.1
89.875,5.8,2.5375,78.4,74.425,13.9,SREDNJA,5,533,15,3.1
44.375,1.9,1.2375,85.9,81.8125,11.9,SREDNJA,5,170,7.90000000000001,2.5
105.2,4.5,2.9,63.7,59.2,17.3,VISOKA,5,531.9,13.9,3.7
58.375,3.5,2.625,71.8,65.5875,17.8,SREDNJA,5,200,11.9,2.3
55.175,4.7,2.15,74.1,69.325,18.9,SREDNJA,5,197.6,10.3,2.5
33.725,3.9,2.7,82.2,75.5375,14.9,SREDNJA,5,215.7,14.5,2.1
19.125,2.1,1.5625,90.5,87.575,12.9,SREDNJA,5,75,7.7,1
48.275,4.2,2.0375,86.3,78.975,15.6,SREDNJA,6,194.3,25.4,3.7
96,1.6,1.3,92.2,88.475,15.6,SREDNJA,6,414,17.1,2.1
112,3.3,1.8,73.4,58.7125,19.3,SREDNJA,6,404,34,5.1
114.75,2.2,1.425,90.1,79.0125,19.9,SREDNJA,6,524,44.4,5.7
122.825,1.5,1.125,66.7,60.725,20.8,SREDNJA,6,516.9,15.1,3.4
118.125,2.3,1.6375,84.9,77.4,20,VISOKA,6,521,26.6,5.2
115.5,2.4,1.575,79.4,71.6375,20.4,VISOKA,6,522,26,5.4
113.5,4.1,2.175,75.5,67.875,21.4,SREDNJA,6,515,16.8,4.4
108.25,2,1.7125,75.1,67.025,23.6,VISOKA,6,488,22.6,7.5
119.35,2.4,1.775,85.3,77.8625,20,VISOKA,6,485.7,17.9,3.2
78.575,2.2,1.725,84.1,78.1,20.3,VISOKA,6,288.9,18.2,3.9
108.625,2.3,1.7625,71.6,63.2,21.7,VISOKA,6,449,24.4,6.3
118.125,3.3,2.175,66.9,60.3875,21.7,VISOKA,6,537,17.5,6.5
103,2.3,1.675,74.1,66.875,24,VISOKA,6,420,19.5,6.3
104.375,1.8,1.35,68.1,62.375,25.4,VISOKA,6,468,17.4,6.7
102.875,2,1.5,77.4,70.525,26.5,VISOKA,6,474,21.6,6.6
106.5,2.2,1.4375,80.4,74.0375,25.6,VISOKA,6,480,17.8,4.9
105.5,2.1,1.6,75.4,70.8,26.6,VISOKA,6,463,16.3,4.7
109.5,2.2,1.4875,80.1,74.7,27.9,VISOKA,6,500,18.5,4.9
109,2.3,1.6,81.1,75.1125,27.4,VISOKA,6,494,15.3,4.7
110.25,3,1.9875,68.9,55.775,29.3,SREDNJA,6,497,28.7,3.8
68.75,3.5,1.8125,55.5,46.2,21,SREDNJA,6,307,15.3,3.7
98.375,2,1.5375,66.3,55.8125,21.7,SREDNJA,6,378,27.3,5.6
56.875,3.5,2.4875,53.5,47.625,18.6,SREDNJA,6,272,11.7,1.6
34.375,2.1,1.6625,63.5,54.2625,18.2,SREDNJA,6,131,22,4.5
109.75,2.6,1.775,57,48.625,21.3,VISOKA,6,504,23.4,4.7
107,2.4,1.9375,69.6,66.1625,20,VISOKA,6,498,11.2,4.1
38.75,1.9,1.2375,53.5,49.4875,22.2,SREDNJA,7,219,8,2.9
77.25,2.4,1.8625,69.1,64,22.1,SREDNJA,7,280,14.9,5.6
102.25,2.6,1.9375,65.2,57.825,25.5,VISOKA,7,469,20.1,8.2
122.625,1.8,1.3,72.8,66.7625,24.6,VISOKA,7,545,22.1,3.5
103.75,2,1.4125,63.3,54.6125,26.8,VISOKA,7,479,19.5,6.7
108,2.1,1.5125,58.5,47.5125,28.6,SREDNJA,7,463,26.3,6.6
74.625,4,2.6625,50.5,47.3375,26,VISOKA,7,442,6.8,1.3
39.375,3.6,2.6125,51.1,46.975,25.7,VISOKA,7,145,8.2,1.2
99.125,2.5,1.775,61.3,52.175,28,VISOKA,7,460,22.5,5.2
102.25,2.1,1.2375,65.6,58.6625,28.5,VISOKA,7,473,23.8,7.3
59.5,4.4,1.9625,60.8,56.7,26,VISOKA,7,254,16.4,3.5
88.375,2.7,2.0875,67.1,55.9125,24.6,VISOKA,7,443,25.3,3.6
93.875,2.5,1.85,68.4,60.3875,25.2,VISOKA,7,410,24.1,5
90.625,2.4,1.5625,61.8,53.8125,24.7,VISOKA,7,444,15.5,2.2
96.5,2.5,1.7125,62.4,56.525,26.4,VISOKA,7,437,22.7,6
95.125,2,1.35,69.7,58.7,25.2,VISOKA,7,443,29.7,4.5
96.25,2.4,1.9125,70.4,55.4875,25.7,VISOKA,7,453,33.6,6.6
99.125,2.8,1.775,69.1,52.9,27.3,VISOKA,7,469,32.4,6.6
110.125,2,1.4,59,54.475,27,VISOKA,7,488,14,5.7
97.25,2.2,1.675,72.2,64.25,26.8,VISOKA,7,456,22.8,6
13.5,2.4,1.675,66.8,54.5625,26.2,VISOKA,7,76,24.9,3.5
96.375,2.8,2.025,43,38.6875,27.2,VISOKA,7,456,9.7,2.7
70.375,3,2.4375,65.8,55.3875,26,VISOKA,7,250,15,4.1
88.075,2.3,1.7625,69,59.2125,29.1,VISOKA,7,422.9,28.1,7.8
87.5,2.3,1.5,67.5,63.05,27,EKSTREMNA,7,421,11.2,4.2
58.375,2.7,1.775,59.9,53.6875,28.4,VISOKA,7,246,13,4.9
82.25,2.3,1.5375,70.3,64.65,30.6,VISOKA,7,395,18.9,6
87.975,4.2,2.5125,71.2,54.5,31.4,VISOKA,7,423.7,31.2,5.6
94.125,2.8,1.75,81.4,73.0625,25.9,SREDNJA,7,461,35.4,6.1
